tiempo,senal
0.0,293
0.0,293
0.0,294
0.0,295
0.0,297
0.0,298
0.0,298
0.0,299
0.002580881118774414,300
0.002580881118774414,300
0.002580881118774414,301
0.002580881118774414,302
0.002580881118774414,303
0.002580881118774414,302
0.002580881118774414,302
0.002580881118774414,302
0.002580881118774414,303
0.002580881118774414,302
0.002580881118774414,301
0.002580881118774414,299
0.002580881118774414,298
0.002580881118774414,297
0.002580881118774414,296
0.004588603973388672,294
0.004588603973388672,292
0.004588603973388672,290
0.004588603973388672,288
0.004588603973388672,285
0.004588603973388672,283
0.004588603973388672,281
0.004588603973388672,278
0.004588603973388672,276
0.004588603973388672,273
0.004588603973388672,269
0.004588603973388672,267
0.004588603973388672,265
0.004588603973388672,263
0.004588603973388672,261
0.004588603973388672,259
0.004588603973388672,257
0.004588603973388672,254
0.004588603973388672,252
0.004588603973388672,248
0.004588603973388672,246
0.004588603973388672,241
0.004588603973388672,240
0.004588603973388672,237
0.004588603973388672,236
0.004588603973388672,234
0.004588603973388672,232
0.004588603973388672,229
0.004588603973388672,228
0.004588603973388672,227
0.004588603973388672,225
0.004588603973388672,224
0.004588603973388672,223
0.004588603973388672,222
0.004588603973388672,222
0.004588603973388672,219
0.004588603973388672,218
0.004588603973388672,217
0.004588603973388672,216
0.0066013336181640625,215
0.0066013336181640625,214
0.0066013336181640625,213
0.0066013336181640625,212
0.0066013336181640625,210
0.0066013336181640625,209
0.0066013336181640625,208
0.0066013336181640625,207
0.0066013336181640625,207
0.0066013336181640625,206
0.0066013336181640625,204
0.0066013336181640625,203
0.0066013336181640625,202
0.0066013336181640625,201
0.0066013336181640625,201
0.0066013336181640625,200
0.0066013336181640625,198
0.0066013336181640625,197
0.0066013336181640625,197
0.0066013336181640625,196
0.0066013336181640625,195
0.0066013336181640625,194
0.0066013336181640625,194
0.0066013336181640625,193
0.0066013336181640625,192
0.0066013336181640625,191
0.0066013336181640625,190
0.0066013336181640625,189
0.0066013336181640625,189
0.0066013336181640625,189
0.0066013336181640625,188
0.0066013336181640625,187
0.0066013336181640625,187
0.0066013336181640625,187
0.0066013336181640625,186
0.0066013336181640625,185
0.0066013336181640625,184
0.0066013336181640625,183
0.0066013336181640625,184
0.0066013336181640625,185
0.0066013336181640625,185
0.0066013336181640625,184
0.0066013336181640625,183
0.0066013336181640625,182
0.0066013336181640625,183
