tiempo,senal
0.0,98
0.0,97
0.0,97
0.0,97
0.0,97
0.0,97
0.0,97
0.0,96
0.0,96
0.0,97
0.0,97
0.0,97
0.0,97
0.0,98
0.0,99
0.0,99
0.0,100
0.0,102
0.0,104
0.0,106
0.0,109
0.0,111
0.0,114
0.0,117
0.0,121
0.004191875457763672,123
0.004191875457763672,126
0.004191875457763672,129
0.004191875457763672,132
0.004191875457763672,135
0.004191875457763672,138
0.004191875457763672,141
0.004191875457763672,144
0.004191875457763672,146
0.004191875457763672,149
0.004191875457763672,152
0.004191875457763672,154
0.004191875457763672,156
0.004191875457763672,159
0.004191875457763672,162
0.004191875457763672,163
0.004191875457763672,166
0.004191875457763672,168
0.004191875457763672,170
0.004191875457763672,172
0.004191875457763672,173
0.004191875457763672,175
0.004191875457763672,177
0.004191875457763672,179
0.004191875457763672,181
0.004191875457763672,182
0.004191875457763672,183
0.004191875457763672,185
0.004191875457763672,186
0.004191875457763672,187
0.004191875457763672,188
0.004191875457763672,189
0.004191875457763672,190
0.004191875457763672,192
0.004191875457763672,193
0.004191875457763672,194
0.004191875457763672,195
0.004191875457763672,196
0.004191875457763672,197
0.004191875457763672,197
0.004191875457763672,197
0.004191875457763672,197
0.004191875457763672,197
0.004191875457763672,196
0.004191875457763672,195
0.004191875457763672,194
0.004191875457763672,192
0.004191875457763672,191
0.004191875457763672,190
0.004191875457763672,189
0.004191875457763672,187
0.004191875457763672,186
0.004191875457763672,184
0.004191875457763672,183
0.004191875457763672,182
0.004191875457763672,181
0.004191875457763672,179
0.004191875457763672,178
0.004191875457763672,177
0.004191875457763672,176
0.004191875457763672,174
0.004191875457763672,172
0.004191875457763672,171
0.004191875457763672,170
0.004191875457763672,169
0.004191875457763672,167
0.004191875457763672,165
0.004191875457763672,164
0.004191875457763672,163
0.004191875457763672,161
0.004191875457763672,160
0.004191875457763672,158
0.004191875457763672,157
0.004191875457763672,156
0.004191875457763672,154
0.004191875457763672,153
0.004191875457763672,151
0.004191875457763672,150
0.004191875457763672,149
0.004191875457763672,147
0.004191875457763672,146
0.004191875457763672,144
0.004191875457763672,143
0.004191875457763672,142
